Experiment,Code_ID,Variety_ID,Tnight.1,Tnight.2,Tnight.3,Ri.1,Ri.2,Ri.3,Psi.2,Psi.3,Tmax.1,Tmax.2,Tmax.3,grain.number
Cam12R,3116,EC169,20.48118459,20.00119206,19.3431258,89.396,378.004,1142.093,-88.18,-13.17241379,36.62348664,36.41854237,33.76742546,517.292429
Cam12W,3116,EC169,20.48118459,20.45895717,19.23893472,89.396,300.872,1219.225,-25.96031746,-19,36.62348664,36.24387973,33.98044611,1037.792295
Cam13R,3116,EC169,22.330046,20.99197855,14.70251904,140.89,259.512,873.79,-73.92391304,-15.43971631,36.04012299,35.87843435,25.40829756,1046.135578
Cam13W,3116,EC169,22.330046,21.53790001,14.92793959,140.89,181.388,951.914,-17.11403509,-36.99509804,36.04012299,36.47730044,25.86952411,1630.383336
Cra12R,3116,EC169,19.0853045,23.03538837,20.58759899,165.702,255.564,826.489,-118.0357143,-10.89,34.84797277,35.90549691,33.45493082,389.982295
Cra12W,3116,EC169,19.0853045,23.04675239,20.63923873,165.702,234.123,847.93,-45.0125,-18.02884615,34.84797277,35.83728618,33.54364665,1721.052827
Deb12R,3116,EC169,20.72531725,18.39171249,17.6213234,166.61,216.024,1034.92,-54.9122807,-129.2552083,36.0868137,32.18766574,30.77087078,1828.832243
Deb12W,3116,EC169,20.72531725,18.39171249,17.6213234,166.61,216.024,1034.92,-19.25438596,-39.91927083,36.0868137,32.18766574,30.77087078,2162.410431
Deb13R,3116,EC169,17.17141124,18.78235342,13.80064933,191.451,192.517,799.048,-70.66666667,-50.98529412,30.92783466,32.82473274,25.87409925,1910.321206
Gai12W,3116,EC169,18.47567475,18.15634986,17.04393964,301.774,266.712,963.435,-19.47159091,-9.920698925,27.14074366,27.27516681,25.46446156,4680.238659
Gai13R,3116,EC169,16.78243784,21.286633,15.92632565,287.702,216.409,780.426,-71.63194444,-37.04427083,30.13401067,35.90028717,28.13889767,1666.624178
Gai13W,3116,EC169,16.78243784,21.19554594,16.1393224,287.702,201.321,842.034,-11.19444444,-7.327114428,30.13401067,35.87863304,28.49478005,2368.440713
Gra13R,3116,EC169,16.05149495,15.3255899,13.31637716,356.888,440.214,1273.306,-227.3733333,-45.77827381,38.07469761,37.58997991,33.52056887,2227.316161
Kar12R,3116,EC169,16.77703162,15.57358687,13.55916578,280.961,236.196,846.886,-22.2665873,-24.93800854,30.44413899,28.90164626,26.82168364,4124.468187
Kar12W,3116,EC169,16.77703162,15.72388664,13.63551594,280.961,215.223,885.751,-23.42120811,-24.79573211,30.44413899,28.76527145,27.02153202,4256.569465
Kar13R,3116,EC169,15.9810751,19.76298611,13.86864147,323.431,140.62,907.691,-58.06929754,-44.03944648,28.92034604,33.52651566,24.72547543,3416.697619
Kar13W,3116,EC169,15.9810751,19.93422222,13.88847896,323.431,144.247,930.726,-100.3959392,-35.0542377,28.92034604,33.82399606,24.71312559,2211.059292
Mar13R,3116,EC169,17.08178744,16.69150327,18.29567952,246.151,258.944,1321.334,-180.8086507,-172.1706886,32.20031625,32.80797612,32.40166557,2636.290285
Mar13W,3116,EC169,17.08178744,17.3925,17.52449801,246.151,283.455,1275.896,-113.6527736,-95.08509576,32.20031625,33.30860116,31.79862633,3054.139986
Mur13R,3116,EC169,16.93280671,20.59539683,14.83507179,313.813,280.272,962.897,-99.60714286,-158.25,32.48942183,35.45250596,28.2002306,2109.83587
Mur13W,3116,EC169,16.93280671,20.75388889,15.64396427,313.813,276.186,884.528,-30.640625,-20.70833333,32.48942183,35.41007182,28.87317236,2263.302801
Ner12R,3116,EC169,17.39239794,17.65934343,17.18809319,164.608,250.993,992.172,-177.030303,-219.4296448,34.30033787,36.46466449,33.64481182,2398.444793
Ner12W,3116,EC169,17.39239794,17.65934343,17.18809319,164.608,278.897,992.172,-59.56439394,-101.2493169,34.30033787,36.46466449,33.64481182,3770.47262
Ner13R,3116,EC169,18.17756208,20.66072084,15.27084864,327.215,304.188,912.907,-191.9867424,-70.45698925,33.11172075,36.15884639,30.27451654,1432.744564
Ner13W,3116,EC169,18.17756208,21.21739618,15.45803824,327.215,295.991,977.423,-32.96064815,-30.05769231,33.11172075,36.70185592,30.55883209,2449.831581
